Location,Per Capita Income (2022),Political Leaning
AK,68919,Republican
AL,50637,Republican
AR,51787,Republican
AZ,56667,Swing State
CA,77339,Democrat
CO,74167,Democrat
CT,84972,Democrat
DE,61387,Democrat
FL,63597,Swing State
GA,57129,Swing State
HI,61175,Democrat
IA,54537,Republican
ID,68822,Democrat
IL,57930,Republican
IN,58905,Republican
KS,60152,Republican
KY,52109,Republican
LA,54622,Republican
MA,84945,Democrat
MD,70730,Democrat
ME,59463,Democrat
MI,56813,Swing State
MN,68010,Swing State
MO,56551,Republican
MS,46248,Republican
MT,57719,Republican
NC,57416,Swing State
ND,66184,Republican
NE,63321,Republican
NH,74663,Democrat
NJ,78700,Democrat
NM,51500,Democrat
NV,78089,Democrat
NY,61282,Swing State
OH,57880,Swing State
OK,54998,Republican
OR,62767,Democrat
PA,65167,Swing State
RI,65377,Democrat
SC,53320,Republican
SD,65806,Republican
TN,58279,Republican
TX,61985,Republican
UT,57925,Republican
VA,68211,Democrat
VT,63206,Democrat
WA,75698,Democrat
WI,61210,Swing State
WV,49169,Republican
WY,71342,Republican
